EXP,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,LWAGE,EXPSQ,YEAR,LOGWKS,ID,EXPB,WKSB,OCCB,INDB,SOUTHB,SMSAB,UNIONB,EXPSQB                    
31,47,1,0,0,1,1,0,0,13,0,6.7031900,961,5,3.8501476,69,30,47.4285714,1,.5714286,0,1,0,904            
32,48,1,0,0,1,1,0,0,13,0,6.8351800,1024,6,3.8712010,69,30,47.4285714,1,.5714286,0,1,0,904           
33,48,1,1,0,1,1,0,0,13,0,6.9304900,1089,7,3.8712010,69,30,47.4285714,1,.5714286,0,1,0,904           
8,49,0,0,0,1,1,0,0,16,0,6.4769700,64,1,3.8918203,70,11,48.4285714,0,0,0,.4285714,0,125              
9,48,0,0,0,1,1,0,0,16,0,6.4769700,81,2,3.8712010,70,11,48.4285714,0,0,0,.4285714,0,125              
10,49,0,0,0,1,1,0,0,16,0,6.6200700,100,3,3.8918203,70,11,48.4285714,0,0,0,.4285714,0,125            
11,49,0,0,0,0,1,0,0,16,0,6.8023900,121,4,3.8918203,70,11,48.4285714,0,0,0,.4285714,0,125            
12,48,0,0,0,0,1,0,0,16,0,6.9077600,144,5,3.8712010,70,11,48.4285714,0,0,0,.4285714,0,125            
13,48,0,0,0,0,1,0,0,16,0,6.9077600,169,6,3.8712010,70,11,48.4285714,0,0,0,.4285714,0,125            
14,48,0,0,0,0,1,0,0,16,0,7.1701200,196,7,3.8712010,70,11,48.4285714,0,0,0,.4285714,0,125            
7,48,0,0,1,1,0,0,0,16,0,6.6970300,49,1,3.8712010,71,10,48,0,0,1,1,0,104         
8,49,0,0,1,1,0,0,0,16,0,6.8023900,64,2,3.8918203,71,10,48,0,0,1,1,0,104         
9,49,0,0,1,1,0,0,0,16,0,6.8977000,81,3,3.8918203,71,10,48,0,0,1,1,0,104         
10,48,0,0,1,1,0,0,0,16,0,6.9565500,100,4,3.8712010,71,10,48,0,0,1,1,0,104       
11,46,0,0,1,1,0,0,0,16,0,7.1309000,121,5,3.8286414,71,10,48,0,0,1,1,0,104       
12,48,0,0,1,1,0,0,0,16,0,7.2442300,144,6,3.8712010,71,10,48,0,0,1,1,0,104       
13,48,0,0,1,1,0,0,0,16,0,7.4018400,169,7,3.8712010,71,10,48,0,0,1,1,0,104       
11,40,0,0,0,0,1,0,1,17,0,6.4769700,121,1,3.6888795,72,14,40.5714286,0,0,0,0,1,200                   
12,40,0,0,0,0,1,0,1,17,0,6.6200700,144,2,3.6888795,72,14,40.5714286,0,0,0,0,1,200                   
13,42,0,0,0,0,1,0,1,17,0,6.6200700,169,3,3.7376696,72,14,40.5714286,0,0,0,0,1,200                   
14,40,0,0,0,0,1,0,1,17,0,6.6846100,196,4,3.6888795,72,14,40.5714286,0,0,0,0,1,200                   
15,40,0,0,0,0,1,0,1,17,0,6.8564600,225,5,3.6888795,72,14,40.5714286,0,0,0,0,1,200                   
16,40,0,0,0,0,1,0,1,17,0,6.9077600,256,6,3.6888795,72,14,40.5714286,0,0,0,0,1,200                   
17,42,0,0,0,0,1,0,1,17,0,7.0030700,289,7,3.7376696,72,14,40.5714286,0,0,0,0,1,200                   
13,49,1,0,0,1,1,0,1,16,0,6.4614700,169,1,3.8918203,73,16,48,.4285714,0,0,1,1,260                    
14,49,1,0,0,1,1,0,1,16,0,6.6554400,196,2,3.8918203,73,16,48,.4285714,0,0,1,1,260                    
15,49,1,0,0,1,1,0,1,16,0,6.7345900,225,3,3.8918203,73,16,48,.4285714,0,0,1,1,260                    
16,48,0,0,0,1,1,0,1,16,0,6.8134400,256,4,3.8712010,73,16,48,.4285714,0,0,1,1,260                    
17,47,0,0,0,1,1,0,1,16,0,6.9147300,289,5,3.8501476,73,16,48,.4285714,0,0,1,1,260                    
18,47,0,0,0,1,1,0,1,16,0,6.8533000,324,6,3.8501476,73,16,48,.4285714,0,0,1,1,260                    
19,47,0,0,0,1,1,0,1,16,0,7.1131400,361,7,3.8501476,73,16,48,.4285714,0,0,1,1,260                    
3,51,1,1,1,0,0,0,0,13,0,5.4161000,9,1,3.9318256,74,6,50,.7142857,.4285714,1,0,0,40                  
4,51,1,1,1,0,0,0,0,13,0,5.5214600,16,2,3.9318256,74,6,50,.7142857,.4285714,1,0,0,40                 
5,51,1,1,1,0,0,0,0,13,0,5.5984200,25,3,3.9318256,74,6,50,.7142857,.4285714,1,0,0,40                 
6,45,0,0,1,0,0,0,0,13,0,5.7037800,36,4,3.8066625,74,6,50,.7142857,.4285714,1,0,0,40                 
7,50,0,0,1,0,0,0,0,13,0,5.7683200,49,5,3.9120230,74,6,50,.7142857,.4285714,1,0,0,40                 
8,50,1,0,1,0,0,0,0,13,0,5.8861000,64,6,3.9120230,74,6,50,.7142857,.4285714,1,0,0,40                 
9,52,1,0,1,0,0,0,0,13,0,5.8579300,81,7,3.9512437,74,6,50,.7142857,.4285714,1,0,0,40                 
23,36,1,1,1,0,1,0,0,8,1,5.6698800,529,1,3.5835189,75,26,44.2857143,1,1,1,0,0,680                    
24,51,1,1,1,0,1,0,0,8,1,5.9914600,576,2,3.9318256,75,26,44.2857143,1,1,1,0,0,680                    
25,51,1,1,1,0,1,0,0,8,1,6.0867700,625,3,3.9318256,75,26,44.2857143,1,1,1,0,0,680                    
26,24,1,1,1,0,1,0,0,8,1,6.1737900,676,4,3.1780538,75,26,44.2857143,1,1,1,0,0,680                    
27,50,1,1,1,0,1,0,0,8,1,6.2557500,729,5,3.9120230,75,26,44.2857143,1,1,1,0,0,680                    
28,51,1,1,1,0,1,0,0,8,1,6.4377500,784,6,3.9318256,75,26,44.2857143,1,1,1,0,0,680                    
29,47,1,1,1,0,1,0,0,8,1,6.4457200,841,7,3.8501476,75,26,44.2857143,1,1,1,0,0,680                    
9,51,1,0,0,1,1,0,0,13,0,5.1647900,81,1,3.9318256,76,12,48.4285714,.8571429,0,0,.2857143,.2857143,148                    
10,47,0,0,0,1,1,0,0,13,0,5.6276200,100,2,3.8501476,76,12,48.4285714,.8571429,0,0,.2857143,.2857143,148                  
11,50,1,0,0,0,1,0,0,13,0,5.8435400,121,3,3.9120230,76,12,48.4285714,.8571429,0,0,.2857143,.2857143,148                  
12,48,1,0,0,0,1,0,0,13,0,5.9610100,144,4,3.8712010,76,12,48.4285714,.8571429,0,0,.2857143,.2857143,148                  
13,47,1,0,0,0,1,0,1,13,0,6.0282800,169,5,3.8501476,76,12,48.4285714,.8571429,0,0,.2857143,.2857143,148                  
14,47,1,0,0,0,1,0,1,13,0,6.1527300,196,6,3.8501476,76,12,48.4285714,.8571429,0,0,.2857143,.2857143,148                  
15,49,1,0,0,0,1,0,0,13,0,6.2461100,225,7,3.8918203,76,12,48.4285714,.8571429,0,0,.2857143,.2857143,148                  
10,48,0,0,1,0,1,0,0,10,0,5.5214600,100,1,3.8712010,77,13,44,.8571429,.2857143,1,0,0,173             
11,52,1,0,1,0,1,0,0,10,0,5.7037800,121,2,3.9512437,77,13,44,.8571429,.2857143,1,0,0,173             
12,51,1,1,1,0,1,0,0,10,0,6.2045600,144,3,3.9318256,77,13,44,.8571429,.2857143,1,0,0,173             
13,50,1,0,1,0,1,0,0,10,0,6.0591200,169,4,3.9120230,77,13,44,.8571429,.2857143,1,0,0,173             
14,39,1,0,1,0,1,0,0,10,0,6.1984800,196,5,3.6635616,77,13,44,.8571429,.2857143,1,0,0,173             
15,29,1,1,1,0,1,0,0,10,0,6.1612100,225,6,3.3672958,77,13,44,.8571429,.2857143,1,0,0,173             
16,39,1,0,1,0,1,0,0,10,0,6.2804000,256,7,3.6635616,77,13,44,.8571429,.2857143,1,0,0,173             
37,44,1,0,0,0,1,0,0,12,0,5.7037800,1369,1,3.7841896,78,40,48.4285714,1,0,.8571429,.8571429,0,1604   
38,52,1,0,1,1,0,0,0,12,0,5.7838300,1444,2,3.9512437,78,40,48.4285714,1,0,.8571429,.8571429,0,1604   
39,46,1,0,1,1,0,0,0,12,0,5.7838300,1521,3,3.8286414,78,40,48.4285714,1,0,.8571429,.8571429,0,1604   
40,48,1,0,1,1,0,0,0,12,0,6.1633100,1600,4,3.8712010,78,40,48.4285714,1,0,.8571429,.8571429,0,1604   
41,49,1,0,1,1,0,0,0,12,0,6.2146100,1681,5,3.8918203,78,40,48.4285714,1,0,.8571429,.8571429,0,1604   
42,50,1,0,1,1,0,0,0,12,0,6.2146100,1764,6,3.9120230,78,40,48.4285714,1,0,.8571429,.8571429,0,1604   
43,50,1,0,1,1,0,0,0,12,0,6.3099200,1849,7,3.9120230,78,40,48.4285714,1,0,.8571429,.8571429,0,1604   
10,50,1,0,0,0,0,1,0,8,0,5.4293500,100,1,3.9120230,79,13,48.1428571,1,0,0,0,0,173                    
11,50,1,0,0,0,0,1,0,8,0,5.4722700,121,2,3.9120230,79,13,48.1428571,1,0,0,0,0,173                    
12,50,1,0,0,0,0,1,0,8,0,5.6454500,144,3,3.9120230,79,13,48.1428571,1,0,0,0,0,173                    
13,50,1,0,0,0,0,1,0,8,0,5.6869800,169,4,3.9120230,79,13,48.1428571,1,0,0,0,0,173                    
14,37,1,0,0,0,0,1,0,8,0,5.8579300,196,5,3.6109179,79,13,48.1428571,1,0,0,0,0,173                    
15,50,1,0,0,0,0,1,0,8,0,5.9532400,225,6,3.9120230,79,13,48.1428571,1,0,0,0,0,173                    
16,50,1,0,0,0,0,1,0,8,0,6.0520900,256,7,3.9120230,79,13,48.1428571,1,0,0,0,0,173                    
5,48,0,1,0,0,1,0,0,17,0,6.7452400,25,1,3.8712010,80,8,49.7142857,0,1,0,0,0,68   
6,50,0,1,0,0,1,0,0,17,0,6.8167400,36,2,3.9120230,80,8,49.7142857,0,1,0,0,0,68   
7,50,0,1,0,0,1,0,0,17,0,6.6592900,49,3,3.9120230,80,8,49.7142857,0,1,0,0,0,68   
8,50,0,1,0,0,1,0,0,17,0,7.0900800,64,4,3.9120230,80,8,49.7142857,0,1,0,0,0,68   
9,50,0,1,0,0,1,0,0,17,0,7.0791800,81,5,3.9120230,80,8,49.7142857,0,1,0,0,0,68   
10,50,0,1,0,0,1,0,0,17,0,6.9847200,100,6,3.9120230,80,8,49.7142857,0,1,0,0,0,68 
11,50,0,1,0,0,1,0,0,17,0,7.2619300,121,7,3.9120230,80,8,49.7142857,0,1,0,0,0,68 
6,46,1,0,0,1,1,0,1,16,0,6.3543700,36,1,3.8286414,81,9,48.2857143,.7142857,0,0,1,.5714286,85         
7,48,1,0,0,1,1,0,1,16,0,6.3368300,49,2,3.8712010,81,9,48.2857143,.7142857,0,0,1,.5714286,85         
8,47,1,0,0,1,1,0,1,16,0,6.4377500,64,3,3.8501476,81,9,48.2857143,.7142857,0,0,1,.5714286,85         
9,49,1,0,0,1,1,0,1,16,0,6.3969300,81,4,3.8918203,81,9,48.2857143,.7142857,0,0,1,.5714286,85         
10,49,0,0,0,1,1,0,0,16,0,7.2334600,100,5,3.8918203,81,9,48.2857143,.7142857,0,0,1,.5714286,85       
11,49,0,0,0,1,1,0,0,16,0,7.3588300,121,6,3.8918203,81,9,48.2857143,.7142857,0,0,1,.5714286,85       
12,50,1,0,0,1,1,0,0,16,0,7.1731900,144,7,3.9120230,81,9,48.2857143,.7142857,0,0,1,.5714286,85       
22,50,1,0,1,0,1,0,1,12,0,6.6200700,484,1,3.9120230,82,25,45.1428571,1,0,1,0,1,629                   
23,49,1,0,1,0,1,0,1,12,0,6.6656800,529,2,3.8918203,82,25,45.1428571,1,0,1,0,1,629                   
24,44,1,0,1,0,1,0,1,12,0,6.8145400,576,3,3.7841896,82,25,45.1428571,1,0,1,0,1,629                   
25,38,1,0,1,0,1,0,1,12,0,6.8885700,625,4,3.6375862,82,25,45.1428571,1,0,1,0,1,629                   
26,49,1,0,1,0,1,0,1,12,0,6.9575000,676,5,3.8918203,82,25,45.1428571,1,0,1,0,1,629                   
27,50,1,0,1,0,1,0,1,12,0,6.9334200,729,6,3.9120230,82,25,45.1428571,1,0,1,0,1,629                   
28,36,1,0,1,0,1,0,1,12,0,7.0656100,784,7,3.5835189,82,25,45.1428571,1,0,1,0,1,629                   
12,47,1,0,0,1,0,0,1,12,0,6.1224900,144,1,3.8501476,83,15,46.1428571,1,0,0,1,1,229                   
13,46,1,0,0,1,0,0,1,12,0,6.0890400,169,2,3.8286414,83,15,46.1428571,1,0,0,1,1,229                   
14,47,1,0,0,1,0,0,1,12,0,6.2915700,196,3,3.8501476,83,15,46.1428571,1,0,0,1,1,229                   
15,42,1,0,0,1,0,0,1,12,0,6.3969300,225,4,3.7376696,83,15,46.1428571,1,0,0,1,1,229                   
16,48,1,0,0,1,0,0,1,12,0,6.4907200,256,5,3.8712010,83,15,46.1428571,1,0,0,1,1,229                   
17,47,1,0,0,1,0,0,1,12,0,6.5971500,289,6,3.8501476,83,15,46.1428571,1,0,0,1,1,229                   
18,46,1,0,0,1,0,0,1,12,0,6.5638600,324,7,3.8286414,83,15,46.1428571,1,0,0,1,1,229                   
38,42,0,0,1,1,1,0,0,17,1,6.5861700,1444,1,3.7376696,84,41,42.8571429,0,0,1,1,0,1685                 
39,34,0,0,1,1,1,0,0,17,1,6.6200700,1521,2,3.5263605,84,41,42.8571429,0,0,1,1,0,1685                 
40,48,0,0,1,1,1,0,0,17,1,6.6200700,1600,3,3.8712010,84,41,42.8571429,0,0,1,1,0,1685                 
41,46,0,0,1,1,1,0,0,17,1,6.4019200,1681,4,3.8286414,84,41,42.8571429,0,0,1,1,0,1685                 
42,49,0,0,1,1,1,0,0,17,1,6.7742200,1764,5,3.8918203,84,41,42.8571429,0,0,1,1,0,1685                 
43,34,0,0,1,1,1,0,0,17,1,6.9256000,1849,6,3.5263605,84,41,42.8571429,0,0,1,1,0,1685                 
44,47,0,0,1,1,1,0,0,17,1,6.7007300,1936,7,3.8501476,84,41,42.8571429,0,0,1,1,0,1685                 
15,51,1,1,0,0,1,0,1,7,0,6.1633100,225,1,3.9318256,85,18,49.5714286,1,1,0,0,1,328                    
16,49,1,1,0,0,1,0,1,7,0,6.2265400,256,2,3.8918203,85,18,49.5714286,1,1,0,0,1,328                    
17,50,1,1,0,0,1,0,1,7,0,6.3207700,289,3,3.9120230,85,18,49.5714286,1,1,0,0,1,328                    
18,50,1,1,0,0,0,0,1,7,0,6.4552000,324,4,3.9120230,85,18,49.5714286,1,1,0,0,1,328                    
19,48,1,1,0,0,0,0,1,7,0,6.5147100,361,5,3.8712010,85,18,49.5714286,1,1,0,0,1,328                    
20,50,1,1,0,0,0,0,1,7,0,6.6200700,400,6,3.9120230,85,18,49.5714286,1,1,0,0,1,328                    
21,49,1,1,0,0,0,0,1,7,0,6.6682300,441,7,3.8918203,85,18,49.5714286,1,1,0,0,1,328                    
3,37,0,0,1,1,0,1,0,12,0,6.2146100,9,1,3.6109179,86,6,44.4285714,0,.2857143,1,1,0,40                 
4,49,0,0,1,1,0,1,0,12,0,6.7153800,16,2,3.8918203,86,6,44.4285714,0,.2857143,1,1,0,40                
5,38,0,0,1,1,0,1,0,12,0,6.4377500,25,3,3.6375862,86,6,44.4285714,0,.2857143,1,1,0,40                
6,49,0,0,1,1,0,1,0,12,0,6.6567300,36,4,3.8918203,86,6,44.4285714,0,.2857143,1,1,0,40                
7,39,0,1,1,1,0,1,0,12,0,6.6592900,49,5,3.6635616,86,6,44.4285714,0,.2857143,1,1,0,40                
8,51,0,1,1,1,0,1,0,12,0,6.8648500,64,6,3.9318256,86,6,44.4285714,0,.2857143,1,1,0,40                
9,48,0,0,1,1,0,1,0,12,0,6.6528600,81,7,3.8712010,86,6,44.4285714,0,.2857143,1,1,0,40                
12,41,1,0,0,1,1,0,1,14,0,6.5424700,144,1,3.7135721,87,15,45.1428571,1,0,0,1,1,229                   
13,49,1,0,0,1,1,0,1,14,0,6.6025900,169,2,3.8918203,87,15,45.1428571,1,0,0,1,1,229                   
14,32,1,0,0,1,1,0,1,14,0,6.7464100,196,3,3.4657359,87,15,45.1428571,1,0,0,1,1,229                   
15,50,1,0,0,1,1,0,1,14,0,6.8648500,225,4,3.9120230,87,15,45.1428571,1,0,0,1,1,229                   
16,46,1,0,0,1,1,0,1,14,0,6.9584500,256,5,3.8286414,87,15,45.1428571,1,0,0,1,1,229                   
17,49,1,0,0,1,1,0,1,14,0,7.0139200,289,6,3.8918203,87,15,45.1428571,1,0,0,1,1,229                   
18,49,1,0,0,1,1,0,1,14,0,7.1155800,324,7,3.8918203,87,15,45.1428571,1,0,0,1,1,229                   
5,49,0,1,0,1,1,0,0,15,0,6.3699000,25,1,3.8918203,88,8,48.1428571,0,.7142857,0,1,0,68                
6,48,0,1,0,1,1,0,0,15,0,6.3969300,36,2,3.8712010,88,8,48.1428571,0,.7142857,0,1,0,68                
7,48,0,1,0,1,1,0,0,15,0,6.5596200,49,3,3.8712010,88,8,48.1428571,0,.7142857,0,1,0,68                
8,48,0,0,0,1,1,0,0,15,0,6.7310200,64,4,3.8712010,88,8,48.1428571,0,.7142857,0,1,0,68                
9,48,0,0,0,1,1,0,0,15,0,6.8648500,81,5,3.8712010,88,8,48.1428571,0,.7142857,0,1,0,68                
10,47,0,1,0,1,1,0,0,15,0,7.1546200,100,6,3.8501476,88,8,48.1428571,0,.7142857,0,1,0,68              
11,49,0,1,0,1,1,0,0,15,0,7.2724000,121,7,3.8918203,88,8,48.1428571,0,.7142857,0,1,0,68              
11,48,0,0,0,0,1,0,0,12,1,6.0520900,121,1,3.8712010,89,14,48.8571429,0,0,0,.5714286,0,200            
12,47,0,0,0,0,1,0,0,12,1,6.0234500,144,2,3.8501476,89,14,48.8571429,0,0,0,.5714286,0,200            
13,50,0,0,0,0,1,0,0,12,1,6.3099200,169,3,3.9120230,89,14,48.8571429,0,0,0,.5714286,0,200            
14,50,0,0,0,1,1,0,0,12,1,6.3801200,196,4,3.9120230,89,14,48.8571429,0,0,0,.5714286,0,200            
15,49,0,0,0,1,1,0,0,12,1,6.6592900,225,5,3.8918203,89,14,48.8571429,0,0,0,.5714286,0,200            
16,49,0,0,0,1,1,0,0,12,1,6.6846100,256,6,3.8918203,89,14,48.8571429,0,0,0,.5714286,0,200            
17,49,0,0,0,1,1,0,0,12,1,6.7393400,289,7,3.8918203,89,14,48.8571429,0,0,0,.5714286,0,200            
1,48,0,0,0,1,0,1,0,12,0,6.2146100,1,1,3.8712010,90,4,47.8571429,0,0,0,1,0,20    
2,48,0,0,0,1,0,1,0,12,0,6.2146100,4,2,3.8712010,90,4,47.8571429,0,0,0,1,0,20    
3,48,0,0,0,1,0,1,0,12,0,6.3099200,9,3,3.8712010,90,4,47.8571429,0,0,0,1,0,20    
4,48,0,0,0,1,0,1,0,12,0,6.3969300,16,4,3.8712010,90,4,47.8571429,0,0,0,1,0,20   
5,47,0,0,0,1,0,1,0,12,0,6.2146100,25,5,3.8501476,90,4,47.8571429,0,0,0,1,0,20   
6,47,0,0,0,1,0,1,0,12,0,6.3969300,36,6,3.8501476,90,4,47.8571429,0,0,0,1,0,20   
7,49,0,0,0,1,0,1,0,12,0,6.6528600,49,7,3.8918203,90,4,47.8571429,0,0,0,1,0,20   
10,39,1,0,0,1,1,0,1,7,0,6.3438800,100,1,3.6635616,91,13,40.7142857,1,.8571429,0,1,1,173             
11,21,1,1,0,1,1,0,1,7,0,6.4134600,121,2,3.0445224,91,13,40.7142857,1,.8571429,0,1,1,173             
12,40,1,1,0,1,1,0,1,7,0,6.7274300,144,3,3.6888795,91,13,40.7142857,1,.8571429,0,1,1,173             
13,50,1,1,0,1,1,0,1,7,0,6.7650400,169,4,3.9120230,91,13,40.7142857,1,.8571429,0,1,1,173             
14,50,1,1,0,1,1,0,1,7,0,6.8564600,196,5,3.9120230,91,13,40.7142857,1,.8571429,0,1,1,173             
15,43,1,1,0,1,1,0,1,7,0,7.0030700,225,6,3.7612001,91,13,40.7142857,1,.8571429,0,1,1,173             
16,42,1,1,0,1,1,0,1,7,0,7.1701200,256,7,3.7376696,91,13,40.7142857,1,.8571429,0,1,1,173             
5,50,1,0,1,0,1,0,1,14,0,6.4769700,25,1,3.9120230,92,8,42,.7142857,0,1,0,.8571429,68                 
6,49,1,0,1,0,1,0,1,14,0,6.5861700,36,2,3.8918203,92,8,42,.7142857,0,1,0,.8571429,68                 
7,45,1,0,1,0,1,0,1,14,0,6.7334000,49,3,3.8066625,92,8,42,.7142857,0,1,0,.8571429,68                 
8,38,1,0,1,0,1,0,1,14,0,6.8134400,64,4,3.6375862,92,8,42,.7142857,0,1,0,.8571429,68                 
9,48,1,0,1,0,1,0,1,14,0,6.9613000,81,5,3.8712010,92,8,42,.7142857,0,1,0,.8571429,68                 
10,17,0,0,1,0,1,0,0,14,0,6.5027900,100,6,2.8332133,92,8,42,.7142857,0,1,0,.8571429,68               
11,47,0,0,1,0,1,0,1,14,0,6.7019600,121,7,3.8501476,92,8,42,.7142857,0,1,0,.8571429,68               
33,49,1,1,1,0,1,0,1,7,0,5.9914600,1089,1,3.8918203,93,36,44.4285714,1,1,1,0,.7142857,1300           
34,34,1,1,1,0,1,0,0,7,0,6.1779400,1156,2,3.5263605,93,36,44.4285714,1,1,1,0,.7142857,1300           
35,51,1,1,1,0,1,0,0,7,0,6.1779400,1225,3,3.9318256,93,36,44.4285714,1,1,1,0,.7142857,1300           
36,50,1,1,1,0,1,0,1,7,0,6.3969300,1296,4,3.9120230,93,36,44.4285714,1,1,1,0,.7142857,1300           
37,50,1,1,1,0,1,0,1,7,0,6.5012900,1369,5,3.9120230,93,36,44.4285714,1,1,1,0,.7142857,1300           
38,46,1,1,1,0,1,0,1,7,0,6.6066500,1444,6,3.8286414,93,36,44.4285714,1,1,1,0,.7142857,1300           
39,31,1,1,1,0,1,0,1,7,0,6.9077600,1521,7,3.4339872,93,36,44.4285714,1,1,1,0,.7142857,1300           
11,36,0,0,0,1,1,0,1,17,0,6.7912200,121,1,3.5835189,94,14,37,0,0,0,1,1,200       
12,36,0,0,0,1,1,0,1,17,0,6.8458800,144,2,3.5835189,94,14,37,0,0,0,1,1,200       
13,38,0,0,0,1,1,0,1,17,0,6.8721300,169,3,3.6375862,94,14,37,0,0,0,1,1,200       
14,36,0,0,0,1,1,0,1,17,0,6.9565500,196,4,3.5835189,94,14,37,0,0,0,1,1,200       
15,38,0,0,0,1,1,0,1,17,0,7.0967200,225,5,3.6375862,94,14,37,0,0,0,1,1,200       
16,41,0,0,0,1,1,0,1,17,0,7.1608500,256,6,3.7135721,94,14,37,0,0,0,1,1,200       
17,34,0,0,0,1,1,0,1,17,0,7.1608500,289,7,3.5263605,94,14,37,0,0,0,1,1,200       
37,48,1,1,0,1,1,0,1,8,0,6.2841300,1369,1,3.8712010,95,40,45.4285714,1,1,0,1,1,1604                  
38,48,1,1,0,1,1,0,1,8,0,6.3279400,1444,2,3.8712010,95,40,45.4285714,1,1,0,1,1,1604                  
39,35,1,1,0,1,1,0,1,8,0,6.4769700,1521,3,3.5553481,95,40,45.4285714,1,1,0,1,1,1604                  
40,47,1,1,0,1,1,0,1,8,0,6.5042900,1600,4,3.8501476,95,40,45.4285714,1,1,0,1,1,1604                  
41,46,1,1,0,1,1,0,1,8,0,6.5875500,1681,5,3.8286414,95,40,45.4285714,1,1,0,1,1,1604                  
42,47,1,1,0,1,1,0,1,8,0,6.7650400,1764,6,3.8501476,95,40,45.4285714,1,1,0,1,1,1604                  
43,47,1,1,0,1,1,0,1,8,0,6.8101400,1849,7,3.8501476,95,40,45.4285714,1,1,0,1,1,1604                  
29,50,0,1,0,1,1,0,0,16,0,6.9057500,841,1,3.9120230,96,32,49.2857143,0,1,0,1,0,1028                  
30,50,0,1,0,1,1,0,0,16,0,6.9057500,900,2,3.9120230,96,32,49.2857143,0,1,0,1,0,1028                  
31,50,0,1,0,1,1,0,0,16,0,7.3460100,961,3,3.9120230,96,32,49.2857143,0,1,0,1,0,1028                  
32,49,0,1,0,1,1,0,0,16,0,7.2078600,1024,4,3.8918203,96,32,49.2857143,0,1,0,1,0,1028                 
33,49,0,1,0,1,1,0,0,16,0,7.5229400,1089,5,3.8918203,96,32,49.2857143,0,1,0,1,0,1028                 
34,48,0,1,0,1,1,0,0,16,0,7.6760100,1156,6,3.8712010,96,32,49.2857143,0,1,0,1,0,1028                 
35,49,0,1,0,1,1,0,0,16,0,7.7832200,1225,7,3.8918203,96,32,49.2857143,0,1,0,1,0,1028                 
30,39,1,0,1,0,1,0,0,11,0,6.1092500,900,1,3.6635616,97,33,47.7142857,1,0,1,0,0,1093                  
31,50,1,0,1,0,1,0,0,11,0,6.2265400,961,2,3.9120230,97,33,47.7142857,1,0,1,0,0,1093                  
32,50,1,0,1,0,1,0,0,11,0,6.3135500,1024,3,3.9120230,97,33,47.7142857,1,0,1,0,0,1093                 
33,49,1,0,1,0,1,0,0,11,0,6.4199900,1089,4,3.8918203,97,33,47.7142857,1,0,1,0,0,1093                 
34,49,1,0,1,0,0,0,0,11,0,6.5147100,1156,5,3.8918203,97,33,47.7142857,1,0,1,0,0,1093                 
35,49,1,0,1,0,0,0,0,11,0,6.6280400,1225,6,3.8918203,97,33,47.7142857,1,0,1,0,0,1093                 
36,48,1,0,1,0,0,0,0,11,0,6.8319500,1296,7,3.8712010,97,33,47.7142857,1,0,1,0,0,1093                 
16,50,0,1,1,1,1,0,0,17,0,6.7274300,256,1,3.9120230,98,19,50.8571429,0,.8571429,1,1,0,365            
17,52,0,1,1,1,1,0,0,17,0,6.8977000,289,2,3.9512437,98,19,50.8571429,0,.8571429,1,1,0,365            
18,52,0,0,1,1,1,0,0,17,0,6.9837900,324,3,3.9512437,98,19,50.8571429,0,.8571429,1,1,0,365            
19,52,0,1,1,1,1,0,0,17,0,7.0791800,361,4,3.9512437,98,19,50.8571429,0,.8571429,1,1,0,365            
20,50,0,1,1,1,1,0,0,17,0,7.1701200,400,5,3.9120230,98,19,50.8571429,0,.8571429,1,1,0,365            
21,50,0,1,1,1,1,0,0,17,0,7.1475600,441,6,3.9120230,98,19,50.8571429,0,.8571429,1,1,0,365            
22,50,0,1,1,1,1,0,0,17,0,7.3651800,484,7,3.9120230,98,19,50.8571429,0,.8571429,1,1,0,365            
12,49,1,1,0,1,0,0,0,12,0,5.7807400,144,1,3.8918203,99,15,47.7142857,.8571429,1,0,1,0,229            
13,49,1,1,0,1,0,0,0,12,0,5.8260000,169,2,3.8918203,99,15,47.7142857,.8571429,1,0,1,0,229            
14,50,1,1,0,1,0,0,0,12,0,5.8464400,196,3,3.9120230,99,15,47.7142857,.8571429,1,0,1,0,229            
15,45,1,1,0,1,0,0,0,12,0,5.9558400,225,4,3.8066625,99,15,47.7142857,.8571429,1,0,1,0,229            
16,47,1,1,0,1,0,0,0,12,0,6.0661100,256,5,3.8501476,99,15,47.7142857,.8571429,1,0,1,0,229            
17,45,0,1,0,1,0,0,0,12,0,6.1903200,289,6,3.8066625,99,15,47.7142857,.8571429,1,0,1,0,229            
18,49,1,1,0,1,0,0,0,12,0,6.2363700,324,7,3.8918203,99,15,47.7142857,.8571429,1,0,1,0,229            
8,44,1,0,0,1,1,0,0,11,0,5.9914600,64,1,3.7841896,100,11,49.8571429,1,0,0,1,0,125                    
9,51,1,0,0,1,1,0,0,11,0,6.1092500,81,2,3.9318256,100,11,49.8571429,1,0,0,1,0,125                    
10,51,1,0,0,1,1,0,0,11,0,6.3969300,100,3,3.9318256,100,11,49.8571429,1,0,0,1,0,125                  
11,51,1,0,0,1,1,0,0,11,0,6.3969300,121,4,3.9318256,100,11,49.8571429,1,0,0,1,0,125                  
12,50,1,0,0,1,1,0,0,11,0,6.4769700,144,5,3.9120230,100,11,49.8571429,1,0,0,1,0,125                  
13,51,1,0,0,1,1,0,0,11,0,6.4769700,169,6,3.9318256,100,11,49.8571429,1,0,0,1,0,125                  
